Place_Name,Category,City,Province,Description,,,,,,,,,,
Sigiriya Rock,Historical Landmark,Dambulla,Central Province,"Ancient rock fortress with frescoes and stunning views, a UNESCO World Heritage site.",,,,,,,,,,
Galle Fort,Historical Landmark,Galle,Southern Province,"A 17th-century fort built by the Portuguese, later fortified by the Dutch, showcasing colonial architecture.",,,,,,,,,,
Yala National Park,Wildlife Sanctuary,Tissamaharama,Southern Province,"Famous for leopard sightings, this park offers a rich diversity of flora and fauna.",,,,,,,,,,
Nuwara Eliya,Hill Station,Nuwara Eliya,Central Province,"Known as ""Little England,"" this town features tea plantations, a cool climate, and colonial-era bungalows.",,,,,,,,,,
Ella,Scenic Destination,Ella,Uva Province,"A picturesque town surrounded by mountains, tea plantations, and hiking trails.",,,,,,,,,,
Mirissa,Beach Destination,Mirissa,Southern Province,"A vibrant beach town known for whale watching, surfing, and its relaxed atmosphere.",,,,,,,,,,
Temple of the Tooth,Religious Site,Kandy,Central Province,"A sacred Buddhist temple in Kandy, said to house a tooth relic of Buddha.",,,,,,,,,,
Pinnawala Elephant Orphanage,Wildlife Sanctuary,Pinnawala,Sabaragamuwa,A sanctuary for orphaned elephants where visitors can watch feeding and bathing rituals.,,,,,,,,,,
Arugam Bay,Beach Destination,Pottuvil,Eastern Province,"A popular spot for surfing and beach parties, offering a lively coastal experience.",,,,,,,,,,
Horton Plains,National Park,Nuwara Eliya,Central Province,"Known for the World's End cliff and Baker's Falls, this park offers breathtaking views and hiking trails.",,,,,,,,,,
Dambulla Cave Temple,Religious Site,Dambulla,Central Province,A complex of cave temples featuring ancient murals and Buddha statues.,,,,,,,,,,
Unawatuna,Beach Destination,Unawatuna,Southern Province,A serene beach destination known for its coral reefs and palm-lined shores.,,,,,,,,,,
Jaffna Fort,Historical Landmark,Jaffna,Northern Province,A colonial-era fort built by the Portuguese and later expanded by the Dutch.,,,,,,,,,,
Adams Peak (Sri Pada),Religious/Hiking Site,Maskeliya,Sabaragamuwa,"A sacred mountain with a footprint impression, attracting pilgrims and hikers.",,,,,,,,,,
Polonnaruwa,Historical Landmark,Polonnaruwa,North Central Province,"An ancient city with well-preserved ruins of palaces, temples, and statues.",,,,,,,,,,
Trincomalee Beach,Beach Destination,Trincomalee,Eastern Province,"A stunning beach destination known for snorkeling, diving, and whale watching.",,,,,,,,,,
Anuradhapura,Historical Landmark,Anuradhapura,North Central Province,An ancient city with centuries-old stupas and sacred sites.,,,,,,,,,,
Bentota,Beach Destination,Bentota,Southern Province,"A resort town offering pristine beaches, water sports, and luxury accommodations.",,,,,,,,,,
Sinharaja Forest Reserve,National Park,Deniyaya,Southern Province,A UNESCO World Heritage rainforest rich in biodiversity and endemic species.,,,,,,,,,,
Udawalawe National Park,Wildlife Sanctuary,Udawalawe,Southern Province,Known for its large elephant population and open grassland landscapes.,,,,,,,,,,
Minneriya National Park,Wildlife Sanctuary,Minneriya,North Central Province,"Famous for the ""Gathering"" of elephants during the dry season.",,,,,,,,,,
Colombo,City,Colombo,Western Province,"The capital city of Sri Lanka, blending modernity with historical sites like the Galle Face Green.",,,,,,,,,,
Kandy Lake,Scenic Destination,Kandy,Central Province,"A serene man-made lake in the heart of Kandy, surrounded by greenery.",,,,,,,,,,
Kalpitiya,Beach Destination,Kalpitiya,North Western Province,"A coastal town famous for kite surfing, dolphins, and eco-tourism.",,,,,,,,,,
Nilaveli Beach,Beach Destination,Nilaveli,Eastern Province,A pristine beach known for snorkeling and tranquil beauty.,,,,,,,,,,
Hambantota,City,Hambantota,Southern Province,A coastal city with modern developments and proximity to wildlife parks.,,,,,,,,,,
Knuckles Mountain Range,Scenic Destination,Matale,Central Province,A range of mountains offering stunning hikes and biodiversity.,,,,,,,,,,
Hikkaduwa,Beach Destination,Hikkaduwa,Southern Province,"Popular for coral reefs, snorkeling, and nightlife.",,,,,,,,,,
Mahiyanganaya Temple,Religious Site,Mahiyanganaya,Uva Province,An ancient temple tied to Buddha’s first visit to Sri Lanka.,,,,,,,,,,
Ramboda Falls,Waterfall,Ramboda,Central Province,A scenic waterfall surrounded by tea plantations and greenery.,,,,,,,,,,
Kataragama,Religious Site,Kataragama,Uva Province,A multi-religious sacred city attracting pilgrims from various faiths.,,,,,,,,,,
Kitulgala,Adventure Destination,Kitulgala,Sabaragamuwa,A destination known for white-water rafting and lush rainforests.,,,,,,,,,,
