Place,Category,Location,District,Province,Description
Alankuda Beach,Beach,Kalpitiya,Puttalam,North Western,A stretch beach recently developed in the Kalpitiya
Kalpitiya Beach,Beach,Kalpitiya,Puttalam,North Western,Kalpitiya Beach is a exquisite coastal region in Kalpitiya Peninsula off the west coast of Sri Lanka.
Unawatuna,Beach,Unawatuna,Galle,Southern,Unawatuna is a coastal town in Galle district of Sri Lanka. Unawatuna is a major tourist attraction in Sri Lanka and famous for its beautiful beach and corals.
Mirissa,Beach,Mirissa,Matara,Southern,"Mirissa is a small town on the south coast of Sri Lanka, located in the Matara District of the Southern Province. Mirissa's beach and night life make it a popular tourist destinati"
Negombo,Beach,Negombo,Gampaha,Western,Negombo is mere 07 Kms from the Bandaranaike International airport
Kosgoda,Beach,Kosgoda,Galle,Southern,Kosgoda beach is one of popular tourist destination in Southwest where can visit lots of Turtles.
Jungle Beach,Beach,Rumassala,Galle,Southern,Jungle Beach is one of the most remote and wildest beaches in Sri Lanka
Weligama Bay,Beach,Weligama,Matara,Southern,"From Tangalle Bay to Weligama is a beautiful coastline with rugged rocks, sandy beaches and coconut groves."
Okanda Beach,Beach,Okanda,Ampara,Eastern,One of the top surfs in the Eastern coast.
Galle Face Green,Beach,Colombo,Colombo,Western,"The Galle Face is a 12 acres ocean-side urban park, which stretches for 500 m along the coast, in the heart of the financial and business capital of Sri Lanka, Colombo."
Negambo Beach,Beach,Negombo,Gampaha,Western,Negambo Beach located on the west coast of the island and at the mouth of the Negombo Lagoon.
Arugam Bay,Beach,Arugam Bay,Ampara District,Eastern Province,"Arugam Bay is located 317 km (197 mi) from Colombo and contains a wide beach with several fishing villages nearby. It is located in the dry zone of Sri Lanka's southeast coast. It has been identified as the best surfing beach in Sri Lanka and the fourth best in southeast Asia.[citation needed] Lahugal National Park and Yala East National Park are located within a 10–30 km (6.2–18.6 mi) radius from the Arugam Bay centre. Magul Maha Viharaya (Buddhist temple), Kudumbigala Temple (Buddhist temple), Shastrwela Buddhist Temple, Okanda Hindu Temple are all in the area.[1][2]"
Batticaloa,Beach,Batticaloa,Batticaloa district,Eastern Province,"Batticaloa is a major city located in the Batticaloa district of the Eastern Province. The town sits on a strip of land with the Indian Ocean to the east and estuarine lagoons surrounding it. It is a popular snorkeling and scuba diving spot because of the rich coral along the coast. Batticaloa Lagoon is also known for its ""singing fish"" near the Kallady bridge, a couple kilometers from the town centre. The musical sound comes from a marine creature that resides in the waters of the lagoon.[3]"
Kalkuda Beach,Brach,kalkuda,Batticaloa district,Eastern Province,"Kalkudah Beach is a long, rugged beach in Sri Lanka's Eastern Province. It's located near Passekudah Beach, which is more populated."
